Date,HSN Code,Description,Origin,Destination,Quantity,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer
10-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 22",India,Cameroon,1 NOS,726088.2,50000.0,,,,True
10-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 90",India,Cameroon,1 NOS,651025.0,50000.0,,,,True
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 22",India,Cameroon,1 NOS,726088.2,50000.0,,,,True
10-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
10-Oct-24,85042310.0,"Main Tank of Transformer, 50MVA, 90",India,Cameroon,1 NOS,651025.0,50000.0,,,,True
10-Oct-24,85042310.0,POWER TRANSFORMER ELECTROTHERM 28/36.4/4,India,Guatemala,1 NOS,305137.52,,,,,True
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042310.0,"Main Tank of Transformer, 32/40/50M",India,Cameroon,1 NOS,651025.0,,,,,True
9-Oct-24,85042310.0,POWER TRANSFORMER ELECTROTHERM 28/36.4/4,India,Guatemala,1 NOS,305137.52,,,,,True
9-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
9-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
9-Oct-24,85042320.0,"T&R MAKE 75/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,881460.25,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042310.0,"Main Tank of Transformer,32/40/50MV",India,Cameroon,1 NOS,726088.2,,,,,True
9-Oct-24,85042320.0,"T&R MAKE 75/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,881460.25,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042310.0,SUPP DETAILS:HITACHI ENERGY INDIA L,India,Cameroon,1 NOS,,,,,,False
9-Oct-24,85042310.0,"Main Tank of Transformer, 32/40/50M",India,Cameroon,1 NOS,651025.0,,,,,True
9-Oct-24,85042320.0,"T&R MAKE 72/90 MVA,132/34.5 KV POWER TRA",India,Iraq,1 NOS,878753.21,90000.0,,132.0,34.5,False
9-Oct-24,85042320.0,"T&R MAKE 75/190 MVA,132/34.5 KV POWER TR",India,Iraq,1 NOS,881460.25,190000.0,,132.0,34.5,False
5-Oct-24,85042310.0,"TRANSFORMER 2.2MVA, 0.4/11KV,OLTC, 2WIND",India,Kenya,1 SET,71325.17,2200.0,,0.4,11.0,True
5-Oct-24,85042310.0,As per purchase under 0.1% IGST for Exp,India,Kenya,0 NOS,,,,,,False
1-Oct-24,85042310.0,1 PHASE FURNACE TRANSFORMER FURNACE EQU,India,Tanzania,2 NOS,159425.29,,,,,True
1-Oct-24,85042310.0,1 PHASE FURNACE TRANSFORMER FURNACE EQU,India,Tanzania,2 NOS,159425.29,,,,,True
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A01",India,Netherlands,1 NOS,1063321.24,120000.0,,,,True
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A02",India,Netherlands,1 NOS,1063321.24,120000.0,,,,True
30-Sep-24,85042329000.0,TOROIDAL TRANSFORMER,China,Philippines,284 UNT,5106.3,,,,,True
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A01",India,Belgium,1 NOS,1063321.24,120000.0,,,,True
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A02",India,Belgium,1 NOS,1063321.24,120000.0,,,,True
30-Sep-24,85042329000.0,35 PCS LED LIGHTING FIXTURE DRIVER,China,Philippines,35 UNT,455.0,,,,,False
29-Sep-24,85042390.0,VOLTAGE TRANSFORMER,Estonia,Bangladesh,1 UNT,16175.7,,,,,True
29-Sep-24,85042329.0,23 MVA 66-11 KV POWER TRANSFORMER COMPLETE WITH ACCESSORIES AS PER PACKING LIST NO E1128-230110,Indonesia,New Zealand,1 NIU,538549.5,23000.0,,,,True
29-Sep-24,85042329.0,23 MVA 66-11 KV POWER TRANSFORMER COMPLETE WITH ACCESSORIES AS PER PACKING LIST NO E1128-230109,Indonesia,New Zealand,1 NIU,538549.5,23000.0,,,,True
26-Sep-24,85042310.0,"TRANSFORMER 2.2MVA, 0.4/11KV,OLTC, 2WINDING DYN11 INVERTER DUTY WITH SPARE PARTS / ACCESSORIES / COMPONENT",India,Kenya,1 SET,696.78,2200.0,,0.4,11.0,True
26-Sep-24,85042340.0,AC-DC CNVRTR 3.3V 5V 4X12V 982W.,China,India,1 PCS,175.68,,,,,False
26-Sep-24,85042310.0,TEPCO DAANI ASO S/S 1B20 MVA 23 TAP50Db TRANSFORMER,India,Japan,1 NOS,118985.2,20000.0,,,,True
26-Sep-24,85042310.0,"""As per purchase under 0.1% IGST for Export Tax DOCUMENT :ORB/2425/01dt :26.09.2024 GST No .24AADCS3108B1Z2,Supplier Name :Sh",India,Kenya,0 NOS,,,,,,False
25-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,1 NOS,626931.92,105000.0,,3.0,33.0,True
24-Sep-24,85042329.0,AUTO PARTS; IC REGULATOR A8,Japan,Indonesia,5 PCE,3.0,,,,,False
24-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,1 NOS,626931.92,105000.0,,3.0,33.0,True
24-Sep-24,85042329000.0,PERMALLOY CORE,Japan,Philippines,7500 UNT,52.8,,,,,False
24-Sep-24,85042329000.0,DUST CORE,Japan,Philippines,80 UNT,0.8,,,,,False
24-Sep-24,85042329000.0,FERRITE CORE,Japan,Philippines,152000 UNT,1071.7,,,,,False
23-Sep-24,85042320.0,"MANUFACTURING -Hitachi Energy India Ltd, Power Transformers. TAX INV NO: 242401000746 DATED25.05.2024,GST NO-24AARCA9513E1ZN",India,Tanzania,1 NOS,,,,,,True
23-Sep-24,85042320.0,"60 MVA, 132/33 KV POWER TRANSFORMER Transformer Serial no 1LIN23600100065",India,Tanzania,1 NOS,692158.51,60000.0,,132.0,33.0,True
23-Sep-24,85042320.0,"Notify 1-Tanzania Electric Supply Company Limited TANESCO.Plot 114, Block G, Dar Es Salaam Road,Dodoma, Tanzania, P.O.",India,Tanzania,1 NOS,,,,,,False
