Date,HSN Code,Description,Origin,Destination,Unit Price (USD),Power Rating (KVA),Real Market Data,Primary Voltage (kV),Secondary Voltage (kV),Is Transformer,Data Source,Quantity,Original Unit Price (USD)
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A01",India,Netherlands,1063321.24,120000.0,,,,True,Real (Market),1,1063321.24
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A02",India,Netherlands,1063321.24,120000.0,,,,True,Real (Market),1,1063321.24
30-Sep-24,85042329000.0,TOROIDAL TRANSFORMER,China,Philippines,17.97992957746479,,,,,True,Real (Market),284,5106.3
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A01",India,Belgium,1063321.24,120000.0,,,,True,Real (Market),1,1063321.24
30-Sep-24,85042330.0,"120MVA, 132/20-20kV, 3-Ph Power Transformer SI. No. 90830A02",India,Belgium,1063321.24,120000.0,,,,True,Real (Market),1,1063321.24
29-Sep-24,85042390.0,VOLTAGE TRANSFORMER,Estonia,Bangladesh,16175.7,,,,,True,Real (Market),1,16175.7
29-Sep-24,85042329.0,23 MVA 66-11 KV POWER TRANSFORMER COMPLETE WITH ACCESSORIES AS PER PACKING LIST NO E1128-230110,Indonesia,New Zealand,538549.5,23000.0,,,,True,Real (Market),1,538549.5
29-Sep-24,85042329.0,23 MVA 66-11 KV POWER TRANSFORMER COMPLETE WITH ACCESSORIES AS PER PACKING LIST NO E1128-230109,Indonesia,New Zealand,538549.5,23000.0,,,,True,Real (Market),1,538549.5
26-Sep-24,85042310.0,"TRANSFORMER 2.2MVA, 0.4/11KV,OLTC, 2WINDING DYN11 INVERTER DUTY WITH SPARE PARTS / ACCESSORIES / COMPONENT",India,Kenya,696.78,2200.0,,0.4,11.0,True,Real (Market),1,696.78
26-Sep-24,85042310.0,TEPCO DAANI ASO S/S 1B20 MVA 23 TAP50Db TRANSFORMER,India,Japan,118985.2,20000.0,,,,True,Real (Market),1,118985.2
25-Sep-24,85042330.0,"105 MVA, 400/V3/220/V3/33 KV SINGLE PHASE AUTO TRANSFORMER OUTDOOR TYPE, COMPLETE WITH ALL FITTINGS AND SPARE PARTS / ACCESSORIES / COMPONENT",India,Nepal,626931.92,105000.0,,3.0,33.0,True,Real (Market),1,626931.92
